id,name,bedroom,bathroom,carpark,monthly_price,yearly_price,sqft,furnish_type,property_type,city,state,pet_friendly,latitude,longitude,listing_url
301239,"Bangsar Trade Centre, Kuala Lumpur",0,1,0,1600,19200,463.0,PARTIAL,HIGHRISE,Kuala Lumpur,Wilayah Persekutuan,False,3.1155444483,101.668035686,https://speedhome.com/reels/bangsar-trade-centre-kuala-lumpur-fhqaodeb
301214,"The Sentral Recidences, Kuala Lumpur",2,3,1,5500,66000,1400.0,PARTIAL,HIGHRISE,Kuala Lumpur,Wilayah Persekutuan,True,3.136976221190274,101.68937393789015,https://speedhome.com/reels/the-sentral-recidences-kuala-lumpur-bacnnwlj
301082,"Petalz Residences, Old Klang Road",1,1,0,1150,13800,300.0,FULL,ROOM,Kuala Lumpur,Wilayah Persekutuan,True,3.0852874960565866,101.66156726137696,https://speedhome.com/reels/petalz-residences-old-klang-road-dutyuqvz
301060,"Bukit Damansara, Damansara Heights",4,3,2,8500,102000,2500.0,FULL,LANDED,Kuala Lumpur,Wilayah Persekutuan,False,3.1520966609,101.6566183604,https://speedhome.com/reels/bukit-damansara-damansara-heights-wfvyjwdp
301059,"The Establishment, Brickfields",1,1,0,1200,14400,150.0,FULL,HIGHRISE,Kuala Lumpur,Wilayah Persekutuan,False,3.127981,101.680239,https://speedhome.com/reels/the-establishment-brickfields-frxtcnoq
300972,"SkyVille 8, Kuala Lumpur",1,1,0,1150,13800,300.0,FULL,HIGHRISE,Kuala Lumpur,Wilayah Persekutuan,True,3.0823926163,101.6677567363,https://speedhome.com/reels/skyville-8-kuala-lumpur-ourlcvrl
300733,South View,3,2,1,3300,39600,990.0,FULL,HIGHRISE,Kuala Lumpur,Wilayah Persekutuan,False,3.1139053613,101.6651469469,https://speedhome.com/reels/south-view-mmhwwetz
297455,"Suasana Sentral Loft, Kuala Lumpur",3,2,1,4100,49200,1584.0,FULL,HIGHRISE,Kuala Lumpur,Wilayah Persekutuan,False,3.1313882,101.6841041,https://speedhome.com/reels/suasana-sentral-loft-kuala-lumpur-puexcrri
297111,"Jalan Limau Manis,Bangsar Park Kuala Lumpur",1,1,0,800,9600,200.0,NONE,ROOM,Kuala Lumpur,Wilayah Persekutuan,True,3.1323854869365344,101.6739699760552,https://speedhome.com/reels/jalan-limau-manis-kuala-lumpur-fqjshlou
295000,"Andalucia, Pantai",1,1,1,1100,13200,,FULL,ROOM,Kuala Lumpur,Wilayah Persekutuan,True,3.1065026557,101.6620141268,https://speedhome.com/reels/andalucia-pantai-nrgvbjxr
294549,"Residensi Brickfields, Kuala Lumpur",3,2,2,2900,34800,923.0,PARTIAL,HIGHRISE,Kuala Lumpur,Wilayah Persekutuan,False,3.1251074646488237,101.68098624337196,https://speedhome.com/reels/residensi-brickfields-kuala-lumpur-ttvsiibb
293946,"Citizen, Kuala Lumpur",4,2,2,2800,33600,1094.0,FULL,HIGHRISE,Kuala Lumpur,Wilayah Persekutuan,True,3.0833728841,101.6617083549,https://speedhome.com/reels/citizen-kuala-lumpur-innsplrh
290227,"Cubic Botanical, Bangsar South",0,1,0,1550,18600,300.0,PARTIAL,HIGHRISE,Kuala Lumpur,Wilayah Persekutuan,True,3.093992114012384,101.6668631092706,https://speedhome.com/reels/cubic-botanical-bangsar-south-njoqssqb
288733,"Cubic Botanical, Bangsar South",0,1,1,1800,21600,450.0,FULL,HIGHRISE,Kuala Lumpur,Wilayah Persekutuan,False,3.093992114012384,101.6668631092706,https://speedhome.com/reels/cubic-botanical-bangsar-south-qfpufnat
288603,"Citizen 2, Old Klang Road",3,2,1,2700,32400,883.0,FULL,HIGHRISE,Kuala Lumpur,Wilayah Persekutuan,True,3.082827146073317,101.66235395700211,https://speedhome.com/reels/citizen-2-old-klang-road-egdyjeed
280559,"Residensi Suria Pantai, Kuala Lumpur",3,2,1,1600,19200,810.0,PARTIAL,HIGHRISE,Kuala Lumpur,Wilayah Persekutuan,False,3.0925639,101.6662349,https://speedhome.com/reels/residensi-suria-pantai-kuala-lumpur-ccqwizgt
279870,"Riveria City Brickfields, Kuala Lumpur",1,1,1,1700,20400,250.0,PARTIAL,HIGHRISE,Kuala Lumpur,Wilayah Persekutuan,False,3.130393853409356,101.68970816929377,https://speedhome.com/reels/riveria-city-brickfields-kuala-lumpur-zczmeybk
