id,name,bedroom,bathroom,carpark,monthly_price,yearly_price,sqft,furnish_type,property_type,city,state,pet_friendly,latitude,longitude,listing_url
301294,"Casa Embun Cybersouth, Selangor",2,1,2,1200,14400,550.0,NONE,HIGHRISE,Dengkil,Selangor,False,2.87381491614733,101.66176096666044,https://speedhome.com/reels/casa-embun-cybersouth-selangor-rqjflyyw
301247,"Alanis Residence, Sepang",1,1,1,1500,18000,450.0,PARTIAL,HIGHRISE,Sepang,Selangor,True,2.819504870236389,101.69598289161937,https://speedhome.com/reels/alanis-residence-sepang-ihzfhpoa
301196,Residensi Adelia 4,3,3,2,1300,15600,1045.0,PARTIAL,HIGHRISE,Kajang,Selangor,False,2.8978292,101.7948854,https://speedhome.com/reels/residensi-adelia-4-eviagijn
301159,"Savanna Executive Suites, Dengkil",3,2,2,2088,25056,1000.0,NONE,HIGHRISE,Kajang,Selangor,False,2.9027529678,101.7638254166,https://speedhome.com/reels/savanna-executive-suites-dengkil-qqwmlfvk
301120,"Myra Saujana, Kajang",4,4,2,2100,25200,2338.0,NONE,LANDED,Kajang,Selangor,False,2.898103095229512,101.7247361190152,https://speedhome.com/reels/myra-saujana-kajang-lbwlrnug
301093,"Alanis Residence, Sepang",3,2,2,2000,24000,860.0,FULL,HIGHRISE,Sepang,Selangor,False,2.819504870236389,101.69598289161937,https://speedhome.com/reels/alanis-residence-sepang-fvirhmrl
301062,"Mutiara Ville Residence, Cyberjaya",0,1,1,800,9600,450.0,NONE,HIGHRISE,Cyberjaya,Selangor,False,2.923798292479192,101.63245217129054,https://speedhome.com/reels/mutiara-ville-residence-cyberjaya-rpkohxay
301012,Residensi Bukit Tiara,4,2,2,1900,22800,1000.0,PARTIAL,HIGHRISE,Seri Kembangan,Selangor,False,2.9368692341,101.7982435226,https://speedhome.com/reels/residensi-bukit-tiara-nsqwjeig
300970,"Lakefront Homes, Cyberjaya",3,2,1,1900,22800,1010.0,FULL,HIGHRISE,Cyberjaya,Selangor,False,2.9286831391867008,101.6323059797287,https://speedhome.com/reels/lakefront-homes-cyberjaya-rtzxzhjm
300925,"Taman Emas, Dengkil",4,3,2,2800,33600,1892.0,PARTIAL,LANDED,Dengkil,Selangor,True,2.8666886635,101.6778658752,https://speedhome.com/reels/taman-emas-dengkil-jzlcuhiy
300908,"Residensi PR1MA Kajang Utama, Kajang",3,2,2,1500,18000,1119.0,FULL,HIGHRISE,Kajang,Selangor,False,2.9814098,101.8157289,https://speedhome.com/reels/residensi-pr1ma-kajang-utama-kajang-vmjhbdux
300901,"Lakefront Homes, Cyberjaya",3,2,2,1500,18000,850.0,NONE,HIGHRISE,Cyberjaya,Selangor,False,2.9286831391867008,101.6323059797287,https://speedhome.com/reels/lakefront-homes-cyberjaya-qkgxyfya
300899,Taman Ruby Dengkil,4,3,2,2800,33600,14000.0,PARTIAL,LANDED,Dengkil,Selangor,True,2.8636637188,101.6791534424,https://speedhome.com/reels/taman-ruby-dengkil-pxitfnpt
300871,"The Olive, Sepang",3,2,1,1850,22200,818.0,FULL,HIGHRISE,Sepang,Selangor,False,2.8380749671,101.7018556595,https://speedhome.com/reels/the-olive-sepang-mprappgc
300867,"Kampung Baru, Seri Kembangan",3,1,3,2100,25200,1800.0,FULL,LANDED,Seri Kembangan,Selangor,False,3.023957588804779,101.70264856752225,https://speedhome.com/reels/fully-furnished-aircond-terrace-house-near-sjkc-serdang-baru-1-and-mrt-lmvbqwrm
300784,"Seni Residences, Sepang, Sunsuria City",4,4,3,4400,52800,2578.0,FULL,LANDED,Sepang,Selangor,False,2.8298652904719703,101.69837017232753,https://speedhome.com/reels/seni-residences-sepang-sunsuria-city-xetkkond
300684,"Permata Residence, Kajang",3,2,2,1200,14400,1045.0,NONE,HIGHRISE,Kajang,Selangor,False,3.029171336909841,101.78689092108581,https://speedhome.com/reels/permata-residence-kajang-vbkoaegt
300589,"Cerrado Southville City, Dengkil",2,1,2,1300,15600,656.0,PARTIAL,HIGHRISE,Dengkil,Selangor,True,2.9019223986515907,101.766602510676,https://speedhome.com/reels/cerrado-southville-city-dengkil-sbvsvjxs
300587,"Vista Pinggiran, Seri Kembangan",3,2,1,1800,21600,815.0,FULL,HIGHRISE,Seri Kembangan,Selangor,False,2.9929059344,101.6776621342,https://speedhome.com/reels/vista-pinggiran-seri-kembangan-rfigaskp
300556,"Puncak Hijauan Condominium, Kajang",3,2,2,1550,18600,1050.0,PARTIAL,HIGHRISE,Kajang,Selangor,False,2.944739076535195,101.79648354165303,https://speedhome.com/reels/puncak-hijauan-condominium-kajang-gnolporo
300542,"Residensi Lambaian Dua, Kajang",3,2,2,1900,22800,1120.0,PARTIAL,LANDED,Kajang,Selangor,True,2.9339592454666756,101.80493598015414,https://speedhome.com/reels/residensi-lambaian-dua-kajang-gjtgfohm
300317,"Bandar Bukit Mahkota, Kajang",1,1,1,550,6600,300.0,PARTIAL,ROOM,Kajang,Selangor,False,2.8777841866304734,101.81075862681571,https://speedhome.com/reels/bandar-bukit-mahkota-kajang-titdklwb
300125,"Lakefront Homes, Cyberjaya",3,2,1,1600,19200,1010.0,NONE,HIGHRISE,Cyberjaya,Selangor,True,2.9286831391867008,101.6323059797287,https://speedhome.com/reels/lakefront-homes-cyberjaya-ocimbfgm
300122,"Lakefront Homes, Cyberjaya",3,2,1,1600,19200,1010.0,NONE,HIGHRISE,Cyberjaya,Selangor,True,2.9286831391867008,101.6323059797287,https://speedhome.com/reels/lakefront-homes-cyberjaya-pclgkhiy
300053,"Taman Ixora, Sepang",4,3,2,2000,24000,1400.0,NONE,LANDED,Sepang,Selangor,False,2.8178007294,101.7273044586,https://speedhome.com/reels/taman-ixora-sepang-rladagtm
300008,"Candella Alam Sari, Bangi",4,4,3,3995,47940,2100.0,FULL,LANDED,Kajang,Selangor,False,2.9292045339195014,101.79734231374155,https://speedhome.com/reels/candella-alam-sari-bangi-wyfllwem
299938,"Serdang Skyvillas, Seri Kembangan",4,2,2,1500,18000,1000.0,FULL,HIGHRISE,Seri Kembangan,Selangor,True,3.0409743888794982,101.70657749435829,https://speedhome.com/reels/serdang-skyvillas-seri-kembangan-xmoxecsq
299641,"Taman Sutera, Kajang",4,3,2,2200,26400,1800.0,PARTIAL,LANDED,Kajang,Selangor,True,5.3818786,100.4095006,https://speedhome.com/reels/taman-sutera-kajang-cgxnyozq
299121,"Sri Cempaka Apartment, Kajang",3,2,2,1000,12000,947.0,PARTIAL,HIGHRISE,Kajang,Selangor,True,2.9737809172,101.7824479938,https://speedhome.com/reels/sri-cempaka-apartment-kajang-ztvsqrox
298914,"The Arc, Cyberjaya",1,1,0,450,5400,1200.0,FULL,HIGHRISE,Cyberjaya,Selangor,False,2.9274187893,101.6364848614,https://speedhome.com/reels/the-arc-cyberjaya-bvsbzeak
298874,"Cerrado Southville City, Dengkil",2,1,2,1800,21600,656.0,FULL,HIGHRISE,Dengkil,Selangor,False,2.9019223986515907,101.766602510676,https://speedhome.com/reels/cerrado-southville-city-dengkil-hpacvwcl
298658,"Palm Hill Residence 3 , Kajang",1,1,2,660,7920,970.0,NONE,ROOM,Kajang,Selangor,False,3.0240332771,101.8049742439,https://speedhome.com/reels/palm-hill-residence-3-kajang-xxmiumbn
298509,"Kita Harmoni, Dengkil",4,3,4,2300,27600,1700.0,FULL,LANDED,Dengkil,Selangor,False,2.876666819567413,101.64961565470287,https://speedhome.com/reels/kita-harmoni-dengkil-kotnpykv
298389,"Plaza Indah Apartment, Kajang",3,2,1,1000,12000,950.0,PARTIAL,HIGHRISE,Kajang,Selangor,False,2.9831934672,101.7835047841,https://speedhome.com/reels/plaza-indah-apartment-kajang-exzqxjqk
298166,"Mutiara Ville Residence, Cyberjaya",3,1,2,3000,36000,953.0,PARTIAL,HIGHRISE,Cyberjaya,Selangor,True,2.923798292479192,101.63245217129054,https://speedhome.com/reels/mutiara-ville-residence-cyberjaya-zrlxivdv
297913,"Edusphere Suites, Cyberjaya",2,2,1,2400,28800,650.0,PARTIAL,HIGHRISE,Cyberjaya,Selangor,False,2.9320013763204384,101.63732706672518,https://speedhome.com/reels/edusphere-suites-cyberjaya-yuxvnkfe
297772,"Tamarind Suites, Cyberjaya",2,1,1,1600,19200,708.0,NONE,HIGHRISE,Cyberjaya,Selangor,False,2.9209577251,101.6371715069,https://speedhome.com/reels/tamarind-suites-cyberjaya-yyeotvhf
297645,"Residensi Bukit Tiara, Kajang",3,2,2,1700,20400,900.0,PARTIAL,HIGHRISE,Seri Kembangan,Selangor,False,2.9968273253,101.7557573318,https://speedhome.com/reels/bukit-tiara-residence-uycohjri
297394,"Palmyra Residences, Bangi",3,2,1,1950,23400,1070.0,PARTIAL,HIGHRISE,Kajang,Selangor,False,2.877257676094089,101.79347267947752,https://speedhome.com/reels/palmyra-residences-bangi-wqoosgti
297277,"Cyberia Smarthomes, Cyberjaya",1,1,1,900,10800,1658.0,PARTIAL,ROOM,Cyberjaya,Selangor,False,2.9228775042576696,101.63930470358845,https://speedhome.com/reels/cyberjaya-assntmtz
297277,"Cyberia Smarthomes, Cyberjaya",1,1,1,900,10800,1658.0,PARTIAL,ROOM,Cyberjaya,Selangor,False,2.9228775042576696,101.63930470358845,https://speedhome.com/reels/cyberjaya-assntmtz
297095,"Paragon, Cyberjaya",1,1,2,1200,14400,675.0,PARTIAL,HIGHRISE,Cyberjaya,Selangor,True,2.9224042352,101.6366994381,https://speedhome.com/reels/paragon-cyberjaya-fmlrbylk
296972,"Ivory Residence, Kajang",3,2,0,1100,13200,1288.0,PARTIAL,HIGHRISE,Kajang,Selangor,False,3.0137308751697156,101.81306238139378,https://speedhome.com/reels/ivory-residence-kajang-kyifkdbz
296751,"Bayu Parkville, Balakong",3,2,1,1800,21600,1000.0,PARTIAL,LANDED,Seri Kembangan,Selangor,False,3.0079485705,101.7363649607,https://speedhome.com/reels/bayu-parkville-balakong-lavmsbqn
296421,"Cyberia SmartHomes, Cyberjaya",5,4,2,1800,21600,2098.0,NONE,HIGHRISE,Cyberjaya,Selangor,True,2.924547,101.639113,https://speedhome.com/reels/cyberia-smarthomes-cyberjaya-selpawru
296211,"Kita Bayu, Dengkil",3,2,2,1800,21600,1483.0,PARTIAL,LANDED,Dengkil,Selangor,False,2.875037313192444,101.64907507242322,https://speedhome.com/reels/kita-bayu-dengkil-xaneiyfl
296142,"Lake Point Residence, Cyberjaya",3,2,1,2500,30000,969.0,FULL,HIGHRISE,Cyberjaya,Selangor,True,2.9295403247,101.6346931458,https://speedhome.com/reels/lake-point-residence-cyberjaya-zhwcnpoq
292823,"Sunsuria Tangerine Suites, Sepang",3,2,2,2250,27000,700.0,FULL,HIGHRISE,Sepang,Selangor,True,2.836789719101648,101.69637887491636,https://speedhome.com/reels/sunsuria-tangerine-suites-sepang-fmjiklrq
292748,"Cerrado Southville City, Dengkil",2,1,2,1250,15000,656.0,PARTIAL,HIGHRISE,Dengkil,Selangor,True,2.9019223986515907,101.766602510676,https://speedhome.com/reels/cerrado-southville-city-dengkil-yxgatred
292659,Sensory Residence,3,2,2,1800,21600,888.0,NONE,HIGHRISE,Dengkil,Selangor,True,4.8429417,101.1164453,https://speedhome.com/reels/sensory-residence-ceszcity
292655,Ceria Condominium,3,2,2,1800,21600,1000.0,FULL,HIGHRISE,Cyberjaya,Selangor,True,2.9238966,101.6323136,https://speedhome.com/reels/ceria-condominium-cmgquxug
292365,Kitabayu High,3,2,2,1600,19200,1650.0,NONE,LANDED,Dengkil,Selangor,False,2.873237870126087,101.6508590666604,https://speedhome.com/reels/kitabayu-high-osrmezro
292286,"Taman Bukit Mewah, Kajang",3,2,1,2800,33600,1400.0,FULL,LANDED,Kajang,Selangor,True,2.989285,101.797171,https://speedhome.com/reels/taman-bukit-mewah-kajang-vtakzfen
291726,Adelia Residensi,3,3,1,1500,18000,1091.0,NONE,HIGHRISE,Kajang,Selangor,True,2.907676405871887,101.80019185048936,https://speedhome.com/reels/adelia-residensi-ecbwpaia
291598,"Mirage By The Lake, Cyberjaya",2,2,2,1900,22800,1060.0,PARTIAL,HIGHRISE,Cyberjaya,Selangor,True,2.9148073574,101.6653615236,https://speedhome.com/reels/mirage-by-the-lake-cyberjaya-qperimys
291498,"Mirai Residences, Kajang",2,1,1,1300,15600,578.0,PARTIAL,HIGHRISE,Kajang,Selangor,False,2.9636551455756095,101.79686758650728,https://speedhome.com/reels/mirai-residences-kajang-ebkxtatp
291346,"Kenwingston Square Garden, Cyberjaya",1,1,1,1400,16800,450.0,FULL,HIGHRISE,Cyberjaya,Selangor,False,2.9106820919,101.6391348839,https://speedhome.com/reels/kenwingston-square-garden-cyberjaya-kkixcszr
291306,"Selangorku PR1MA Lakefront Homes, Cyberjaya",3,2,2,1400,16800,850.0,NONE,HIGHRISE,Cyberjaya,Selangor,False,2.9290498,101.6296878,https://speedhome.com/reels/selangorku-pr1ma-lakefront-homes-cyberjaya-llmycxyj
291233,"Mirai Residences, Kajang",3,2,1,1900,22800,931.0,FULL,HIGHRISE,Kajang,Selangor,False,2.9636551455756095,101.79686758650728,https://speedhome.com/reels/mirai-residences-kajang-ebbtsrsj
291055,"Pangsapuri Damai Mewah, Kajang",3,2,0,900,10800,900.0,NONE,HIGHRISE,Kajang,Selangor,True,2.9853426254226534,101.80920323856759,https://speedhome.com/reels/pangsapuri-damai-mewah-kajang-pibdusgs
290516,"Mutiara Ville Residence, Cyberjaya",3,2,2,2200,26400,975.0,FULL,HIGHRISE,Cyberjaya,Selangor,False,2.923798292479192,101.63245217129054,https://speedhome.com/reels/mutiara-ville-residence-cyberjaya-uipgkwfr
290128,"Cristal Serin Residence, Cyberjaya",3,2,2,2300,27600,1300.0,FULL,HIGHRISE,Cyberjaya,Selangor,False,2.91878,101.646258,https://speedhome.com/reels/cristal-serin-residence-cyberjaya-hfodxhkm
289970,"Kita Ria, Dengkil",3,2,2,1500,18000,901.0,PARTIAL,HIGHRISE,Dengkil,Selangor,False,2.8737022193504207,101.6477903244019,https://speedhome.com/reels/kita-ria-dengkil-krilavak
289657,"Centrus Soho, Cyberjaya",1,1,1,1050,12600,450.0,NONE,HIGHRISE,Cyberjaya,Selangor,True,2.9252651054,101.6500246525,https://speedhome.com/reels/centrus-soho-cyberjaya-notpduej
288271,"Arena Residences, Sepang",4,2,2,2400,28800,991.0,PARTIAL,HIGHRISE,Sepang,Selangor,False,2.827931158671437,101.69237594165686,https://speedhome.com/reels/arena-residences-sepang-wjfvnvmb
287890,"Oasis 2, Kajang",3,2,2,1800,21600,1400.0,FULL,HIGHRISE,Kajang,Selangor,True,3.0129035,101.81609430000003,https://speedhome.com/reels/oasis-2-kajang-cdpmkskb
287525,"Centrus Soho, Cyberjaya",0,1,0,1200,14400,450.0,PARTIAL,HIGHRISE,Cyberjaya,Selangor,False,2.9252651054,101.6500246525,https://speedhome.com/reels/centrus-soho-cyberjaya-mbhkswpt
287460,"Sensory Residence Southville City, Dengkil",1,1,1,850,10200,915.0,PARTIAL,ROOM,Dengkil,Selangor,False,4.8429417,101.1164453,https://speedhome.com/reels/sensory-residence-southville-city-dengkil-gtcusfjq
287408,"Lestari Perdana, Seri Kembangan",4,2,1,1800,21600,1400.0,PARTIAL,LANDED,Seri Kembangan,Selangor,True,3.012996620545753,101.66914864111745,https://speedhome.com/reels/lestari-perdana-seri-kembangan-dpukmdqj
287358,"Bandar Serenia, Dengkil",3,2,1,1600,19200,1200.0,NONE,LANDED,Sepang,Selangor,False,2.8597283953281827,101.7051932666604,https://speedhome.com/reels/sime-darby-property-uipecnbh
286785,"Iris Residence, Kajang",3,2,2,1800,21600,1058.0,PARTIAL,HIGHRISE,Kajang,Selangor,False,3.0413973339,101.8072986603,https://speedhome.com/reels/iris-residence-kajang-jpumwjqc
285366,"Palmyra Residences, Kajang",3,2,2,2800,33600,893.0,FULL,HIGHRISE,Kajang,Selangor,False,2.877076,101.792732,https://speedhome.com/reels/palmyra-residences-kajang-ptrelwii
284666,"Residensi Adelia, Kajang",3,3,2,2000,24000,1082.0,FULL,HIGHRISE,Kajang,Selangor,False,2.9060423577750063,101.7985718457241,https://speedhome.com/reels/residensi-adelia-kajang-opktoklx
284201,"Taman Semarak Warisan, Sepang",3,3,2,1600,19200,1259.0,NONE,LANDED,Sepang,Selangor,True,2.812279032584726,101.70166294076584,https://speedhome.com/reels/taman-semarak-warisan-iyhkdkgd
283806,"Acacia Residences, Sepang",1,1,2,700,8400,,FULL,ROOM,Sepang,Selangor,False,2.8348592377246096,101.73845672502394,https://speedhome.com/reels/acacia-residences-sepang-rvuyfarz
283050,"Savanna Executive Suites, Dengkil",3,2,2,2300,27600,956.0,FULL,HIGHRISE,Cyberjaya,Selangor,False,2.9027529678,101.7638254166,https://speedhome.com/reels/savanna-executive-suites-dengkil-poklwkwz
283001,"Nexus, Kajang",3,2,2,1800,21600,1020.0,NONE,HIGHRISE,Kajang,Selangor,False,2.9832080185166356,101.79118578711638,https://speedhome.com/reels/nexus-kajang-tcmlokfa
282785,"Taman Serdang Raya, Seri Kembangan",3,3,3,2499,29988,2800.0,NONE,LANDED,Seri Kembangan,Selangor,True,3.0421687218,101.7035079002,https://speedhome.com/reels/taman-serdang-raya-seri-kembangan-oonnhetk
282632,"Arena Residence, Sepang",3,2,2,2400,28800,904.0,FULL,HIGHRISE,Sepang,Selangor,False,2.827511904073477,101.69205675878409,https://speedhome.com/reels/arena-residence-sepang-aclnyuun
282587,"Lake Point Residence, Cyberjaya",3,2,2,3000,36000,1200.0,FULL,HIGHRISE,Cyberjaya,Selangor,False,2.9295403247,101.6346931458,https://speedhome.com/reels/lake-point-residence-cyberjaya-mrnhblos
281679,"Taman Vista Emas, Kajang",4,3,2,1500,18000,2002.0,PARTIAL,LANDED,Kajang,Selangor,False,2.9463033,101.7961806,https://speedhome.com/reels/taman-vista-emas-kajang-ttrdzlfw
280067,"Cyberia SmartHomes, Cyberjaya",1,1,0,850,10200,,PARTIAL,ROOM,Cyberjaya,Selangor,False,2.924547,101.639113,https://speedhome.com/reels/cyberia-smarthomes-cyberjaya-ieuvvylm
279028,"Acacia Residences, Sepang",1,1,0,715,8580,,FULL,ROOM,Sepang,Selangor,False,2.8347949434853525,101.73857474218185,https://speedhome.com/reels/acacia-residences-sepang-bfaipqsp
278764,"Dpulze Residence, Cyberjaya",1,1,1,1480,17760,558.0,FULL,HIGHRISE,Cyberjaya,Selangor,False,2.922303965568025,101.65034929695894,https://speedhome.com/reels/dpulze-residence-cyberjaya-gkpzjhyp
278138,"Sfera Residency, Seri Kembangan",3,2,2,2700,32400,996.0,FULL,HIGHRISE,Seri Kembangan,Selangor,True,2.982561,101.663318,https://speedhome.com/reels/sfera-residency-seri-kembangan-tatpfahu
277912,"Serdang Skyvillas, Seri Kembangan",3,2,2,1000,12000,900.0,PARTIAL,HIGHRISE,Seri Kembangan,Selangor,True,3.0409743888794982,101.70657749435829,https://speedhome.com/reels/serdang-skyvillas-seri-kembangan-iyxmdwnd
277485,"Sfera Residency, Seri Kembangan",3,2,2,2600,31200,996.0,FULL,HIGHRISE,Seri Kembangan,Selangor,True,2.9829995333118915,101.66319999789803,https://speedhome.com/reels/sfera-residency-seri-kembangan-kicgzvzh
276710,"Sri Lavender Apartment, Kajang",3,2,2,1300,15600,1045.0,PARTIAL,HIGHRISE,Kajang,Selangor,True,2.9753398597,101.7838481069,https://speedhome.com/reels/sri-lavender-apartment-kajang-eplbvmwy
276395,"Tangerine Suites, Sunsuria City",2,1,2,1680,20160,635.0,FULL,HIGHRISE,Sepang,Selangor,False,2.836789719101648,101.69637887491636,https://speedhome.com/reels/tangerine-suites-sunsuria-city-epwutimg
276228,"The Mulia Residennces, Cyberjaya",5,4,4,5000,60000,2386.0,FULL,LANDED,Cyberjaya,Selangor,True,2.90362408329948,101.63673678657018,https://speedhome.com/reels/the-mulia-residennces-cyberjaya-dmecpfas
275903,"Centrus SoHo 1, Cyberjaya",2,2,3,2000,24000,800.0,FULL,HIGHRISE,Cyberjaya,Selangor,False,2.9252651054,101.6500246525,https://speedhome.com/reels/centrus-soho-1-cyberjaya-hpagxkjs
273531,Vista Bangi Condominium,3,2,2,2500,30000,1000.0,FULL,HIGHRISE,Kajang,Selangor,True,2.9453856304884694,101.7847572476079,https://speedhome.com/reels/vista-bangi-condominium-clelwvst
273444,"Landmark Residence 1, Kajang",3,2,2,1780,21360,1200.0,FULL,HIGHRISE,Kajang,Selangor,False,3.0363706181826835,101.77276390441583,https://speedhome.com/reels/landmark-residence-1-kajang-bkjhwbyv
272765,"Palmyra Residences, Bangi",3,2,2,1800,21600,1066.0,FULL,HIGHRISE,Kajang,Selangor,False,2.877076,101.792732,https://speedhome.com/reels/palmyra-residences-bangi-pprtibsd
272137,Verdi Eco-domium,1,1,1,2000,24000,700.0,FULL,HIGHRISE,Cyberjaya,Selangor,False,2.9166503282,101.6396605968,https://speedhome.com/reels/verdi-ecodomium-ojofuqxt
271725,3 Elements Seri Kembangan,1,1,1,1400,16800,531.0,FULL,HIGHRISE,Seri Kembangan,Selangor,False,2.9832216916126395,101.66736260683635,https://speedhome.com/reels/3-elements-seri-kembangan-mrhwbycv
271286,"Mutiara Ville, Cyberjaya. Nearby Hospital Cyberjaya",3,2,2,2500,30000,975.0,PARTIAL,HIGHRISE,Cyberjaya,Selangor,False,2.9228381879,101.6357955337,https://speedhome.com/reels/mutiara-ville-cyberjaya-nearby-hospital-cyberjaya-cryhqzsw
270727,"Edusphere Suites, Cyberjaya",0,1,1,1250,15000,450.0,FULL,HIGHRISE,Cyberjaya,Selangor,False,2.9320013763204384,101.63732706672518,https://speedhome.com/reels/edusphere-suites-cyberjaya-pnkcwwuj
270586,"Setia Eco Glades, Cyberjaya",5,6,4,8995,107940,3250.0,FULL,LANDED,Cyberjaya,Selangor,False,2.9392264755,101.6325259209,https://speedhome.com/reels/setia-eco-glades-cyberjaya-cukxyrsj
270300,"Dpulze Residence, Cyberjaya",2,1,1,1900,22800,676.0,FULL,HIGHRISE,Cyberjaya,Selangor,False,2.922303965568025,101.65034929695894,https://speedhome.com/reels/dpulze-residence-cuifhznr
270219,"Alanis Residence, Sepang",2,1,1,2000,24000,650.0,FULL,HIGHRISE,Sepang,Selangor,False,2.819504870236389,101.69598289161937,https://speedhome.com/reels/alanis-residence-sepang-owwpsakj
269926,Vista Bangi Condominium,0,1,1,1600,19200,501.0,FULL,HIGHRISE,Kajang,Selangor,False,2.9453856304884694,101.7847572476079,https://speedhome.com/reels/vista-bangi-condominium-qrnsavic
269828,"Residensi Camelia, Bandar Sungai Long",3,2,2,1500,18000,1052.0,FULL,HIGHRISE,Kajang,Selangor,False,3.03912,101.809376,https://speedhome.com/reels/residensi-camelia-bandar-sungai-long-bfymzzvp
269816,"Aspire Residence, Cyberjaya",3,2,2,1900,22800,900.0,FULL,HIGHRISE,Cyberjaya,Selangor,False,2.8967685072325753,101.636083802854,https://speedhome.com/reels/aspire-residence-cyberjaya-ktwdlney
269208,"The Place, Cyberjaya",1,1,0,1200,14400,550.0,FULL,HIGHRISE,Puchong,Selangor,False,2.9385193036,101.660887599,https://speedhome.com/reels/the-place-cyberjaya-hulwywon
268789,"The Arc, Cyberjaya",4,2,1,1600,19200,970.0,FULL,HIGHRISE,Cyberjaya,Selangor,False,2.9274187893,101.6364848614,https://speedhome.com/reels/the-arc-cyberjaya-lttcmtni
268381,"Saujana Aster, Putrajaya",3,2,1,1800,21600,1045.0,FULL,HIGHRISE,Putrajaya,Wilayah Persekutuan,False,2.956198466,101.673746109,https://speedhome.com/reels/saujana-aster-putrajaya-omrlcvoz
