id,name,bedroom,bathroom,carpark,monthly_price,yearly_price,sqft,furnish_type,property_type,city,state,pet_friendly,latitude,longitude,listing_url
301303,"Nexus Residences, Kuala Lumpur",1,1,0,800,9600,850.0,FULL,ROOM,Kuala Lumpur,Wilayah Persekutuan,False,3.1127906775203833,101.73089939683028,https://speedhome.com/reels/nexus-residences-kuala-lumpur-yaxyjdmc
301278,"Small Room (MALE ONLY) @ M Arisa, Sentul",1,1,0,600,7200,250.0,PARTIAL,ROOM,Kuala Lumpur,Wilayah Persekutuan,False,3.203062750372859,101.69090282519508,https://speedhome.com/reels/small-room-male-only-m-arisa-sentul-bqlorpgx
301266,middle room Lena Residence,1,1,1,850,10200,1380.0,PARTIAL,ROOM,Shah Alam,Selangor,False,3.1572869968569424,101.71167450894322,https://speedhome.com/reels/middle-room-lena-residence-fznsuiic
301256,"Villa Tropika, Cheras",4,1,0,750,9000,1035.0,FULL,HIGHRISE,Kuala Lumpur,Wilayah Persekutuan,False,3.1186512074,101.7307591438,https://speedhome.com/reels/villa-tropika-cheras-yxjdyuar
301252,"Rampai Court Apartment 2, Kuala Lumpur",2,1,1,1150,13800,600.0,PARTIAL,HIGHRISE,Kuala Lumpur,Wilayah Persekutuan,True,3.192984589401359,101.73482559319949,https://speedhome.com/reels/rampai-court-apartment-2-kuala-lumpur-wkuikqwr
301248,"Middle Room (MALE ONLY) @ M Arisa, Sentul",1,1,0,750,9000,200.0,PARTIAL,ROOM,Kuala Lumpur,Wilayah Persekutuan,False,3.2033102,101.690313,https://speedhome.com/reels/middle-room-m-arisa-sentul-agfzybej
301242,"Arte, Kuchai Lama",1,1,1,1100,13200,,FULL,ROOM,Kuala Lumpur,Wilayah Persekutuan,True,3.0881071325677016,101.68778894603108,https://speedhome.com/reels/arte-kuchai-lama-wkgrdmgd
301239,"Bangsar Trade Centre, Kuala Lumpur",0,1,0,1600,19200,463.0,PARTIAL,HIGHRISE,Kuala Lumpur,Wilayah Persekutuan,False,3.1155444483,101.668035686,https://speedhome.com/reels/bangsar-trade-centre-kuala-lumpur-fhqaodeb
301231,"OUG Parklane, Old Klang Road",2,1,1,800,9600,150.0,PARTIAL,HIGHRISE,Kuala Lumpur,Wilayah Persekutuan,True,3.0669385488,101.6592890024,https://speedhome.com/reels/oug-parklane-old-klang-road-omgzwdwr
301229,"Armani Residence, Selangor",3,1,1,2000,24000,900.0,PARTIAL,HIGHRISE,Cheras,Selangor,True,3.031588248094941,101.79191843694426,https://speedhome.com/reels/armani-residence-selangor-bolcoavi
301216,"Astrum, Ampang",1,1,0,1600,19200,280.0,FULL,HIGHRISE,Kuala Lumpur,Wilayah Persekutuan,False,3.174793585023609,101.73618987826215,https://speedhome.com/reels/astrum-ampang-mkrbllzi
301214,"The Sentral Recidences, Kuala Lumpur",2,3,1,5500,66000,1400.0,PARTIAL,HIGHRISE,Kuala Lumpur,Wilayah Persekutuan,True,3.136976221190274,101.68937393789015,https://speedhome.com/reels/the-sentral-recidences-kuala-lumpur-bacnnwlj
