id,name,bedroom,bathroom,carpark,monthly_price,yearly_price,sqft,furnish_type,property_type,city,state,pet_friendly,latitude,longitude,listing_url
301296,"The Zizz, Damansara Damai",1,1,0,590,7080,250.0,FULL,ROOM,Petaling Jaya,Selangor,True,3.1987059855,101.5964984894,https://speedhome.com/reels/the-zizz-damansara-damai-facoverx
301259,"121 Residences, Petaling Jaya",2,1,0,1600,19200,300.0,NONE,HIGHRISE,Petaling Jaya,Selangor,True,3.1363546,101.6136109,https://speedhome.com/reels/121-residences-petaling-jaya-ttbziiqq
301245,"Empire Damansara, Petaling Jaya",1,1,0,1250,15000,580.0,PARTIAL,HIGHRISE,Petaling Jaya,Selangor,False,3.1657335493,101.6121304035,https://speedhome.com/reels/empire-damansara-petaling-jaya-ccungpyf
301230,"Apartment Desa Mentari, Petaling Jaya",3,1,1,1200,14400,650.0,NONE,HIGHRISE,Petaling Jaya,Selangor,True,3.080469541187698,101.61693151303707,https://speedhome.com/reels/mentari-court-petaling-jaya-nkjtkgwq
301177,"Flat PKNS SS8, Petaling Jaya",2,1,0,850,10200,650.0,NONE,HIGHRISE,Petaling Jaya,Selangor,True,3.0894872316208852,101.61416778810204,https://speedhome.com/reels/flat-pkns-ss8-petaling-jaya-yitgqkgi
301032,"Mentari Court, Petaling Jaya",3,2,0,1500,18000,780.0,PARTIAL,HIGHRISE,Petaling Jaya,Selangor,True,3.0820444336,101.6082948446,https://speedhome.com/reels/mentari-court-petaling-jaya-uteeihrx
301025,"Maya Ara Residences, Petaling Jaya",2,1,2,2450,29400,550.0,FULL,HIGHRISE,Petaling Jaya,Selangor,False,3.1182440792344996,101.58072236650716,https://speedhome.com/reels/maya-ara-residences-petaling-jaya-mqkuxukn
300992,"SS 4, Petaling Jaya",1,1,1,500,6000,150.0,NONE,LANDED,Petaling Jaya,Selangor,True,3.1108987007152145,101.60967208413298,https://speedhome.com/reels/ss-4-petaling-jaya-exbszjzb
300978,"Arnica Serviced Residences, Petaling Jaya",1,1,1,3000,36000,597.0,FULL,HIGHRISE,Petaling Jaya,Selangor,True,3.149214799,101.5932369232,https://speedhome.com/reels/arnica-serviced-residences-petaling-jaya-rqdelarh
300965,"AraTre' Residences, Petaling Jaya",1,1,0,850,10200,120.0,FULL,ROOM,Petaling Jaya,Selangor,False,3.1123541977336524,101.58372919709713,https://speedhome.com/reels/aratre-residences-petaling-jaya-zydjgbwh
300922,Sunway Geolake Residences,3,2,2,6500,78000,1001.0,FULL,HIGHRISE,Subang Jaya,Selangor,False,3.0639816272,101.6087722778,https://speedhome.com/reels/sunway-geolake-residences-dwsxsusf
300820,"Puncak Damansara Condominium, Petaling Jaya",3,2,0,2400,28800,1114.0,NONE,HIGHRISE,Petaling Jaya,Selangor,False,3.136711697943813,101.61615644602786,https://speedhome.com/reels/puncak-damansara-condominium-petaling-jaya-rjoceeev
300788,"Pacific Star Tower, Petaling Jaya",1,1,1,1700,20400,342.0,NONE,HIGHRISE,Petaling Jaya,Selangor,False,3.116750664557432,101.63477119549691,https://speedhome.com/reels/pacific-star-tower-petaling-jaya-rqrtwcpe
300787,"Oasis Damansara, Petaling Jaya",1,1,1,1800,21600,572.0,FULL,HIGHRISE,Petaling Jaya,Selangor,False,3.113665,101.574957,https://speedhome.com/reels/oasis-damansara-petaling-jaya-rdzuzazy
300687,"Perla Ara Sentral, Petaling Jaya",2,1,1,2200,26400,550.0,FULL,HIGHRISE,Petaling Jaya,Selangor,False,3.108182489325752,101.58531016572681,https://speedhome.com/reels/perla-ara-sentral-petaling-jaya-hiwkzikh
300548,"SS12, Subang Jaya",3,2,2,2100,25200,1800.0,PARTIAL,LANDED,Subang Jaya,Selangor,False,3.0787902,101.5949156,https://speedhome.com/reels/ss12-subang-jaya-hwpxnypk
300250,"Palm Spring, Petaling Jaya",1,1,1,685,8220,,FULL,ROOM,Petaling Jaya,Selangor,True,3.15096,101.599,https://speedhome.com/reels/palm-spring-petaling-jaya-mgwqfqxp
300189,"Empire City, Petaling Jaya",0,1,0,1300,15600,447.0,PARTIAL,HIGHRISE,Kuala Lumpur,Wilayah Persekutuan,False,3.1683152498,101.6154402494,https://speedhome.com/reels/empire-city-petaling-jaya-ahhondli
300117,"Taman Alam Megah, Shah Alam",3,1,2,1300,15600,798.0,NONE,LANDED,Shah Alam,Selangor,True,3.10788319098835,101.60336709672929,https://speedhome.com/reels/taman-alam-megah-shah-alam-xjhajhsg
299888,"Empire Damansara, Petaling Jaya",1,1,0,1200,14400,363.0,FULL,HIGHRISE,Petaling Jaya,Selangor,False,3.1657335493,101.6121304035,https://speedhome.com/reels/empire-damansara-petaling-jaya-rnurjxft
299805,"Ryan & Miho, Petaling Jaya",2,1,1,2200,26400,678.0,PARTIAL,HIGHRISE,Petaling Jaya,Selangor,True,3.1184905132,101.6337704659,https://speedhome.com/reels/ryan-miho-petaling-jaya-kfxzzuvq
298972,"Saujana Residency, Subang Jaya",2,2,1,3300,39600,1360.0,PARTIAL,HIGHRISE,Subang Jaya,Selangor,True,3.0831800446,101.5845626593,https://speedhome.com/reels/saujana-residency-subang-jaya-jkjmodwd
298971,"H2O Residences, Petaling Jaya",2,2,2,2200,26400,754.0,PARTIAL,HIGHRISE,Petaling Jaya,Selangor,True,3.1164229121,101.5773206949,https://speedhome.com/reels/h2o-residences-petaling-jaya-sswfujaz
298845,"Paxtonz Empire City, Damansara Perdana",1,1,1,1400,16800,334.0,PARTIAL,HIGHRISE,Petaling Jaya,Selangor,False,3.167482439301825,101.61687192433267,https://speedhome.com/reels/paxtonz-empire-city-damansara-perdana-htrqchxr
298814,"Southplace Residences, Tropicana Metropark",2,2,2,2400,28800,700.0,PARTIAL,HIGHRISE,Subang Jaya,Selangor,False,3.0703547760903414,101.56384626666126,https://speedhome.com/reels/southplace-residences-tropicana-metropark-kuuanrnd
298388,"Damansara Utama, Petaling Jaya",4,3,1,2800,33600,1496.0,PARTIAL,LANDED,Petaling Jaya,Selangor,True,3.1308606273293482,101.62067284012643,https://speedhome.com/reels/damansara-utama-petaling-jaya-ivplbltc
295084,"NEW Internediate Fully Furnished Room For Rent @ SS15, Subang Jaya",1,1,0,650,7800,,FULL,ROOM,Subang Jaya,Selangor,False,3.079322,101.587194,https://speedhome.com/reels/ss15-subang-jaya-yzsvebxj
294396,PALM SPRING F20-08,1,1,1,690,8280,300.0,PARTIAL,ROOM,Petaling Jaya,Selangor,True,3.1507607001327136,101.6001570560144,https://speedhome.com/reels/palm-spring-f200804-ctfgnveo
294395,PALM SPRING F0216,1,1,1,670,8040,300.0,FULL,ROOM,Petaling Jaya,Selangor,True,3.1507607001327136,101.6001570560144,https://speedhome.com/reels/palm-spring-f021605-qezahqxi
294394,PALM SPRING C0903,1,1,1,490,5880,200.0,PARTIAL,ROOM,Petaling Jaya,Selangor,True,3.150503597273818,101.60032871737249,https://speedhome.com/reels/palm-spring-c090307-grbmuajc
294177,PALM SPRING AG13,1,1,1,850,10200,300.0,PARTIAL,ROOM,Puchong,Selangor,True,3.0641530432,101.6461864114,https://speedhome.com/reels/palm-spring-ag1302-vryogsri
294014,Courtyard 3,1,1,0,580,6960,200.0,PARTIAL,ROOM,Petaling Jaya,Selangor,True,3.150498240514669,101.59351976666164,https://speedhome.com/reels/courtyard-3-wgxddrqi
293821,PALM SPRING B-05-11,1,1,1,680,8160,300.0,PARTIAL,ROOM,Petaling Jaya,Selangor,True,3.15058929823384,101.6002428879275,https://speedhome.com/reels/palm-spring-b0511-ytegqhia
292985,"Palm Spring, Petaling Jaya",1,1,0,550,6600,,PARTIAL,ROOM,Petaling Jaya,Selangor,True,3.15096,101.599,https://speedhome.com/reels/palm-spring-petaling-jaya-sjxphvyi
292136,"SS13, Subang Jaya",2,1,4,1100,13200,600.0,FULL,HIGHRISE,Subang Jaya,Selangor,False,3.072414088944673,101.59375621832804,https://speedhome.com/reels/ss13-subang-jaya-rdbolnxd
292047,"Taman Putra Perdana, Selangor",5,3,2,2200,26400,2000.0,NONE,LANDED,Dengkil,Selangor,True,3.0996907,101.6192056,https://speedhome.com/reels/taman-putra-perdana-selangor-cemugmrq
291823,"Zenith Residences, Petaling Jaya",3,2,2,2600,31200,990.0,FULL,HIGHRISE,Petaling Jaya,Selangor,False,3.1042207692,101.5918636322,https://speedhome.com/reels/zenith-residences-petaling-jaya-zxzcgxpb
291599,"Lagoon Perdana Apartment, Petaling Jaya",3,2,1,1300,15600,852.0,FULL,HIGHRISE,Subang Jaya,Selangor,False,3.061956439194271,101.61158826202156,https://speedhome.com/reels/lagoon-perdana-apartment-petaling-jaya-cqilncao
290742,"The Zizz, Petaling Jaya",3,2,2,1750,21000,675.0,PARTIAL,HIGHRISE,Petaling Jaya,Selangor,True,3.1987059855,101.5964984894,https://speedhome.com/reels/the-zizz-petaling-jaya-pdjhqwqx
289192,"Neo Damansara, Damansara Perdana",1,1,1,1450,17400,450.0,NONE,HIGHRISE,Petaling Jaya,Selangor,False,3.164298,101.613214,https://speedhome.com/reels/neo-damansara-damansara-perdana-amvqqazn
